,transcription,title,start_time,end_time,url,total_time,total_words
19, I'm a pig this is my little brother this is mommy pig secret mummy pig has made a special box for Peppa Oh pepper this box is just for you Thank You mummy it's a secret box for you to keep secret things in what things can I put in it me Oh only you can decide that pepper it's your secret box oh oh I know what I can put in it good but don't tell me I won't tell you or,secrets,00:00:02.700,00:00:51.780,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,49.08,83
20, George or daddy's it's a secret George this is my secret box oh it's empty I have to find some things to put George wants to help Peppa oh no George early I must know said the box you have to wait outside it while I choose Peppa is going to choose some secret things to put in the box now my secret box is for George you must know look inside George would like to,secrets,00:00:52.890,00:01:37.110,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,44.22,76
21, know what is inside peppers secret box if you like you can try to guess George thinks pepper has put a dinosaur in the Oh George you always say dinosaur for everything anyway a dinosaur is too big to fit in the box George cannot guess what is in peppers secret box daddy pig is cleaning a picture daddy this is my secret box mummy made it for me it's very nice pepper what's inside,secrets,00:01:37.439,00:02:13.170,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.731,75
22, it's a secret Oh George tried to guess but he didn't get it right can I have a try hmm have you put my glasses inside your glasses around your head so they are Oh silly daddy you must have a proper gasps okay Oh have you put mummys shoes in the nope and that's all your guesses eased Peppa likes secrets Herbie no one knows what's in my box Oh what is George got I,secrets,00:02:14.280,00:02:54.300,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.02,76
23, made a box for George too and he's filled it with secret things and only George knows what's inside Oh Peppa would like to know what is inside George's box oh it's George's toy dinosaur of course yeah George's toy dinosaur is not in George's box it's too difficult oh I'll never guess Peppa does not like secrets as much as she used to maybe if you,secrets,00:02:55.470,00:03:23.190,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.72,67
24, should George one thing from your box then he could show you one thing from his okay oh but we must do to the same time that's a good idea on the count of three you each show what's in your boxes ready yes one two George has a drum and pepper has a trumpet very nice do you have any more secret things George has a custard doughnut,secrets,00:03:23.880,00:03:59.850,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.97,69
25, oh but Pepper's box is empty I've got nothing else so luckily I have come on tuck in George Peppa mummy pig and Daddy pig all like custard doughnuts I don't have a special box but I know a very good place to hide my custard doughnut can you guess where hmm I'd like to hide it in the fridge No somewhere much more special by tummy mmm I go to hide my in my tummy me too,secrets,00:04:01.549,00:04:38.150,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.601,78
26, I'm Peppa Pig this is my little brother this is mummy pig this is daddy dick lick it is a lovely bright sunny day pepper and her family are going for a picnic daddy pig is bringing the picnic basket Oh picnic blanket bread cheese tomatoes and is there anything we've forgotten Oh mommy's job BK oh I was just teasing mummy's homemade strawberry cake is,picnic,00:00:02.669,00:00:46.420,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,43.751,66
27, there too everybody ready ready then let's go this looks like just the spot for our picnic no it's great to be outdoors we should run around a bit and get some exercise oh I want to eat then have a nap I certainly don't want to run around maybe daddy should run around a bit his tummy's quite big my tummy is not big but later I will get some exercise even if no one else does let's,picnic,00:00:46.780,00:01:29.070,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.29,79
28, good idea mummy pig I'm really hungry I feel quite sleepy I thought you wanted to run around a bit daddy pig litter look there's a little duck pond mummy can we feed the ducks yes you can feed them the rest of the bread and George love feeding bread to Ducks mummy okay no want some more that was the last of the bread I'm sure they've had enough ah sorry mrs. duck we've no more bread,picnic,00:01:31.330,00:02:27.180,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,55.85,78
29, ducks want more food so much but daddy pig and his exercise what you lot again Peppa told you there's no more bread ah we do have strawberry cake well if there's any cake left over you can give it to the Ducks everyone likes mummy pig's homemade strawberry cake Oh a wasp I hate wasps shoo what a fuss mummy pig it's only a little wasp oh go away wasp,picnic,00:02:32.010,00:03:08.250,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.24,71
30, just stay still mummy pig then it will fly away there you see all you had to do is stay still hey get away scram whoa shoo get it off me Oh how'd the wasp doesn't sting daddy Oh get away little pest no daddy pig is running too fast for the wasp to catch him let's eat our cake of all the wasps comes back oh no we forgot to leave any for the Ducks I think I,picnic,00:03:10.260,00:03:55.620,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,45.36,79
31, lost it you said you would run around and get some exercise daddy pig but I didn't believe you do it luckily I managed to hang on to my slice of strawberry cake stop daddy we promised the rest of the cake for the Ducks oh you're very lucky to say thank you too daddy pig you're most welcome hmm it's time to go home say goodbye to the Ducks bye bye ducks  see you next time,picnic,00:03:55.950,00:04:35.970,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.02,77
32, a big this is my little brother George this is musical instrument mummy pig and Daddy pig have been tidying the house Oh mummy pig and I found this old box in the Attic Oh can anyone guess what's inside hmm nope it's full of musical instruments they are a bit old and dusty ah true this is the violin I used to play when I was little mummies can you play your,musical instruments,00:00:02.449,00:00:59.219,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,56.77,73
33, violin I haven't played it for a long time please mummy please play it I hope I haven't forgotten how mommy can I play the violet hold it like yes but me dear I did not think it is meant to sound like that hey George wants to try oh they like this George oh that does not sound quite right either the violet is too hard to play pepper maybe you would do better with this tin,musical instruments,00:01:00.090,00:01:50.980,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.89,78
34, drum oh thank you daddy that sounds better Peppa loves playing the drum Oh lovely yes it sounds very nice this is daddy pig's old accordion I used to play this - mummy pig when we first met Oh daddy pig I remember this tune George wants to play the accordion - are you sure George oh the accordion is quite difficult George a a crude yet it's almost as difficult to play as my,musical instruments,00:01:51.580,00:02:34.120,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.54,75
35, drum okay George maybe George is a bit too little to play the accordion daddy oh whatever it's Turbots with the box just this horn oh can I try you have to blow it very hard that does not sound right it's impossible I think I used to be able to play it that really does not sound right oh maybe it just needs someone big and,musical instruments,00:02:35.970,00:03:17.099,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,41.129,67
36, strong like me that does not sound right either PAP is right it is impossible to play nevermind daddy pig just stick to the oh you play it beautifully oh well I do play it quite nicely even if I say so and I'll play my violin and I will play my truck mummy pig plays the violin daddy pig plays the accordion ever plays the drum,musical instruments,00:03:17.670,00:03:54.960,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.29,67
37, but what instrument will George play George is blowing the horn mummy couldn't play the horn and daddy couldn't play it and even I couldn't play it but George can't play it,musical instruments,00:03:58.560,00:04:21.299,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,22.739,32
38, I'm a big this is my little brother this is Bobby pig folks and worms and dr. fly peppa and George are helping grandpa pig in his garden wow what a beautiful butterfly Oh grandpa why do butterflies like flowers they get their food from flowers oh they have very long tongues look at mine oh yes the butterfly's tongue is even longer,frogs and worms and butterflies,00:00:02.669,00:00:59.820,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,57.151,63
39, than yours she uses it to drink from the flower Oh pepper the butterfly secured a flower a flower I'm Peppa Pig oh it's she's so pretty I want to be a butterfly Kepler is playing at being a butterfly Oh George wants to play too George and the butterflies you have to be something else I know you can be reckoning wrong I'm about to fly dear George does not want to be a win he,frogs and worms and butterflies,00:01:00.270,00:01:59.890,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,59.62,77
40, wants to be a butterfly George when I was a little piggy I used to like playing at being a worm it's very easy to be a worm I'll show you how first you have to lie down on the ground then you wriggle around ha ha ha ha I'm a wriggly worm Dorjan grandpa pig are having such fun being wriggly worm I'm about to fly I'm a little butterfly look like I'm a butterfly yes Peppa,frogs and worms and butterflies,00:02:01.030,00:02:48.220,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,47.19,78
41, you're a beautiful butterfly Oh grandpa George what are you doing we are wriggly worms I want to be a regular one too I'm a regular Oh I'm a wrinkly Bob I'm a regular well I'm wiggly worm how are you - I love you I love you that was fun what animals you want to be now hmm look grandpa there's a little frog hey,frogs and worms and butterflies,00:02:49.239,00:03:36.010,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,46.771,66
42, why don't you play it being frogs hmm Frandsen else's britches butterflies or as Wiggly as worms look frogs do play a game you like hmm difference play dolls Oh silly Peppa what's your favorite game jump in muddy puddles oh yes frogs love jumping in muddy puddles me let's play frogs froggy buggies have found a nice big muddy puddle to play in,frogs and worms and butterflies,00:03:37.720,00:04:23.230,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,45.51,64
43, pepperidge George love jumping up and down in muddy puddles everyone loves jumping up and down in muddy puddles butterflies and worms are very nice but I like frogs the best,frogs and worms and butterflies,00:04:24.790,00:04:37.240,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,12.45,31
44, I pet a pig this is my little brother this is Big Daddy peppa and George are playing mommy and daddy's bed what's Peppa has found a box of old clothes Wow daddy's hat and this is mommy's dress George let's just open the tend to pee mommy and daddy here's daddy's hat and here is that these cousins hello daddy pig oh now it's my turn this is mommy's dress which is mommy's,dressing up,00:00:02.030,00:01:07.590,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,65.56,74
45, Mac Daddy pig where are your shoes I need some shoes too now I need to look beautiful just like me Peppa has found mummys makeup box uh-huh some powder lovely that's a lipstick oh it's a pretty mommy pig come on daddy pig it's time to go to work mummy pig is working on her computer hello pepper hello George I beg your pardon pepper I was just,dressing up,00:01:12.350,00:02:16.150,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,63.8,69
46, saying hello oh I'm not pepper pig I love pink oh yes of course hello mummy pig hello and this is daddy pig George ah and hello to you too daddy pig hello yes do this to that no thank you Oh Peppa is enjoying pretending to be mummy pig but George is getting a bit bored sorry daddy pig I'm nearly finished there Oh dad come on daddy pig,dressing up,00:02:16.569,00:03:03.640,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,47.071,70
47, it's time you did some one goodbye mummy pig and Daddy pig goodbye Oh daddy pig is digging in the garden hello George I'm not pick up I mummy pig and this is daddy pig Oh daddy pig is he exclusive what that's very kind of you daddy pig oh now be it's a very deep hole I hope you are not did you give your best clothes daddy pig I want to make pig snorts ooh,dressing up,00:03:04.239,00:03:47.290,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,43.051,77
48, ice cream everyone ice cream pepper George you must take off those muddy clothes before you eat oh I'm mummy pig and this is daddy pig are you sure yes so we're a pepper and George we go No oh well that's a shame because I've got their favorite ice cream here if we can't find them Peppa George there you yes mummies we were just pretending to,dressing up,00:03:59.270,00:04:32.150,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,32.88,68
49, be you and daddy you really had us food,dressing up,00:04:32.360,00:04:35.480,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,3.12,9
50, this is my little brother this is big new shoes have been playing in the garden where are your shoes oh I've lost them well I'm sure we can find them oh maybe we should try the garden oh yes everyone is looking for Peppa's shoes mummy pig is looking in the flowerbed Peppa's shoes and not there mm daddy pig is looking in the wheelbarrow Peppa's shoes are not there,new shoes,00:00:04.890,00:00:58.559,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,53.669,71
51, peppa and George look in the flowerpots Peppa's shoes are not there either oh we've looked everywhere but we can't find Peppa's shoes Peppa's shoes are lost now I'm go to be sure we're poor pepper your shoes were getting a bit old Oh we'll buy you a new pair Oh can my new shoes be red mummy of course they can George I've got to have new red shoes mummy pig and Peppa are at miss,new shoes,00:01:01.649,00:01:35.820,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,34.171,77
52, rabbit's shoe shop hello miss rabbit hello mummy pig oh we would like to buy some new shoes for pepper please Oh red shoes well I'm sure we can find you some lovely new shoes pepper red ones please of course red ones Wow cheese George and Daddy pig are playing drafts oh well done George daddy daddy look at my new shoes 10 Reds I say they are red Oh mummy you do you,new shoes,00:01:36.479,00:02:19.380,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.901,75
53, like my new shoes yes Peppa they make you look very smart George do you like my new shoes everyone likes peppers new shoes I like my new shoes so much I don't want to ever take them off it is bath time Peppa wants to keep her new shoes on even for her bath Hepler is in her pyjamas she still has her new shoes on Peppa even wants to wear her new shoes,new shoes,00:02:19.650,00:02:56.640,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.99,75
54, in bed pepper are you sure you don't want to take your shoes off I don't want to ever take my new shoes off puppies very well good night pepper and George good night Bobby oh good night daddy oh good night my little piggies it has been raining all night and now the garden is very wet mummy pig is wearing her boots daddy pig is wearing his boots,new shoes,00:02:57.239,00:03:28.610,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,31.371,70
55, George is wearing his boots Peppa is still wearing her new red shoes George is going to play in the wet grass oh Peppa loves playing in the wet grass but she doesn't want to get her new shoes wet I can't play in the wet grass George Oh George loves jumping in muddy puddles Peppa loves jumping in puddles but she doesn't want to get her new shoes muddy I mean daddy loves jumping up and down,new shoes,00:03:29.870,00:04:05.060,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.19,78
56, in muddy puddles everyone likes jumping in muddy puddles where is pepper going pepper is putting on her boots if you jump in muddy puddles you must wear your boots,new shoes,00:04:05.330,00:04:35.810,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.48,30
57, I'm a pig this is my little brother George pink this is mommy pig daddy mr. dinosaur looks George's favorite toy is mr. dinosaur Ranger George loves mr. sometimes George likes to scare pepper with mr. dinosaur at suppertime mr. dinosaur sits next to George I beg your pardon was that you George what was it mr. dinosaur gang here at bath time George shares his bath with mr. dinosaur,mr dinosaur is lost,00:00:02.669,00:01:07.770,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,65.101,70
58, good night pepper oh good night Bobby good night George and good night mr. dinosaur when George goes to bed mr. dinosaur is tucked up with him George's favorite game is throwing mr. dinosaur up in the air and catching him when he falls back down Oh pepper and Daddy pig are playing drafts I win daddy oh well done Peppa George George what's the matter uncle,mr dinosaur is lost,00:01:13.740,00:02:03.280,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,49.54,67
59, George have you lost mr. dinosaur George has lost mr. dinosaur don't worry we'll find mr. dinosaur it's a job for a detective daddy what is a deep tech kiss a detective is a very important person who is good at finding things me I've been finding things all right Peppa is the detective George I'll be detective I will help you find mr. dinosaur maybe the detective,mr dinosaur is lost,00:02:06.280,00:02:44.150,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.87,68
60, should ask George some simple questions George where's mr. dinosaur George does not know where mr. dinosaur is the detective could try and guess where mr. dinosaur might be I know I don't where he is George always has mr. dinosaur with him it's a bath so mr. dinosaur is it the bath mr. dinosaur is not in the bath oh I know I know where mr. dinosaur is George always has mr. dinosaur in his,mr dinosaur is lost,00:02:44.870,00:03:25.010,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.14,76
61, bed at night ah save that hilarious mr. dinosaur is not in George's bed oh maybe we should try the garden yes the garden I was going to say that what is mr. dinosaur mr. dinosaur is very hard to find Oh mr. dinosaur is it Teddy where George you do love to throw mr. dinosaur in the I wonder if this time you threw mr. dinosaur just a bit too high I saw him,mr dinosaur is lost,00:03:25.670,00:04:08.720,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,43.05,75
62, first oh well done Peppa you really are a very good detective George is so happy to have mr. dinosaur back again maybe it isn't a good idea to play with Dinosaurs near trees,mr dinosaur is lost,00:04:09.260,00:04:35.780,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.52,34
63, I'm a pig this is my little brother this is a school fete today is the day of the school fete pepper loves coming to the fete here are Peppa's friends Suzy sheep Danny dog Rebecca rabbit and Pedro pony hello I love the school fete me too Oh what do you like best face painting I like the balloons I like the bouncy castle the best I like Oh Oh a very good choice pepper well see,the school fete,00:00:02.700,00:00:56.550,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,53.85,78
64, you later pop pop pop see you later George what do you like best dine-saw ah oh dear there aren't any dinosaurs at the fete George maybe we can get you a dinosaur balloon are you sure they have dinosaur balloons daddy I'm certain of it control did I get our faces painted first of course teeny miss rabbit has painted Peppa's friends as there you are Suzy now you look like a,the school fete,00:00:57.270,00:01:29.430,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,32.16,73
65, tiger thank you Miss rabbit Wow I like your face Suzy are you pussycat no I'm a tiger pepper would you like your face painted yes please can I be an elephant oh dear I don't know how to do elephants I can do Tigers yes a tiger there you are pepper now you're a tiger I'm a tiger Oh George what would you like to be dine-saw girl a dinosaur,the school fete,00:01:29.939,00:02:08.910,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,38.971,71
