,doc_id,youtube_video_id,start_time_sec,end_time_sec,transcription,title,start_time,end_time,url,total_time,total_words
16,17,KYOWEC3Hx40,248.159,294.84,hiccup little  drink juice quickly want  pig,hiccups,04:08.2,04:54.8,https://www.youtube.com/watch?v=KYOWEC3Hx40&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,46.681,7
17,18,HqYNifbUzzY,2.73,39.329, pig little brother mummy pig study lovely sunny day   ride bicycle fine pumpkin daddy pig daddy pig proud pumpkin pumpkin thing grow,bicycles,00:02.7,00:39.3,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.599,22
18,19,HqYNifbUzzY,40.8,66.63,probably love pumpkin pie      friend  dog  sheep  rabbit ride bicycle  ride tricycle gain slowly let race daddy pig pumpkin race pumpkin,bicycles,00:40.8,01:06.6,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,25.83,21
19,20,HqYNifbUzzY,67.35,94.29,careful bump daddy sad pup break worry  ratio friend race daddy pig pumpkin watch pumpkin look daddy pumpkin sorry daddy,bicycles,01:07.4,01:34.3,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.94,20
20,21,HqYNifbUzzY,96.799,124.5,slowly  ride baby bike bible bike  stabilizer ride stabilizer let ride hill good come  think,bicycles,01:36.8,02:04.5,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.701,15
21,22,HqYNifbUzzY,125.25,145.36,stay late hello  wish stabilizer bicycle daddy want stabilize anymore think ride yes alright  let daddy,bicycles,02:05.3,02:25.4,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,20.11,16
22,23,HqYNifbUzzY,146.629,170.51,pig stabilizer  bicycle sure want ride stabilizer yes funny ride stabilizer easy like help  yes,bicycles,02:26.6,02:50.5,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,23.881,15
23,24,HqYNifbUzzY,171.59,205.28,daddy right ready steady daddy worry really good   ride stabilizer cycle age really,bicycles,02:51.6,03:25.3,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,33.69,13
24,25,HqYNifbUzzY,206.03,253.379,good look look ride bike properly    need stabilizer anymore look look pumpkin look dear  squash daddy pig pumpkin sorry squash steal,bicycles,03:26.0,04:13.4,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,47.349,21
25,26,HqYNifbUzzY,254.069,274.77,pop kick daddy mind pumpkin important thing okay future really look promise daddy good pumpkin break make pumpkin pie pumpkin pie,bicycles,04:14.1,04:34.8,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,20.701,21
26,27,HqYNifbUzzY,275.79,279.45,daddy pig pumpkin big pumpkin pie,bicycles,04:35.8,04:39.4,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,3.66,6
27,28,6MPWnMpLMcg,2.7,41.76,pig little brother mummy pig secret mummy pig make special box   box thank mummy secret box secret thing thing,secrets,00:02.7,00:41.8,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,39.06,19
28,29,6MPWnMpLMcg,42.239,69.36,decide  secret box know good tell tell  daddy secret  secret box thing  want help,secrets,00:42.2,01:09.4,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.121,14
29,30,6MPWnMpLMcg,70.11,99.09,  early know say box wait outside choose  choose secret thing box secret box  know look inside  like know inside  secret box,secrets,01:10.1,01:39.1,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,28.98,21
30,31,6MPWnMpLMcg,100.049,127.56,like try guess  think  dinosaur  say dinosaur dinosaur big fit box  guess  secret box daddy pig clean picture daddy,secrets,01:40.0,02:07.6,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.511,19
31,32,6MPWnMpLMcg,128.009,153.09,secret box mummy make nice  inside secret  try guess right try glass inside glass head,secrets,02:08.0,02:33.1,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,25.081,15
32,33,6MPWnMpLMcg,154.47,178.95,silly daddy proper gasp okay mummys shoe guess ease  like secret herbie know box  make box  secret thing,secrets,02:34.5,02:59.0,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,24.48,18
33,34,6MPWnMpLMcg,180.12,200.43, know inside  like know inside  box  toy dinosaur course yes  toy dinosaur  box difficult guess  doe like secret,secrets,03:00.1,03:20.4,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,20.31,18
34,35,6MPWnMpLMcg,201.06,219.44,use maybe  thing box thing okay time good idea count box ready yes,secrets,03:21.1,03:39.4,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,18.38,13
35,36,6MPWnMpLMcg,223.08,251.519, drum  trumpet nice secret thing  custard doughnut  box luckily come tuck   mummy pig daddy,secrets,03:43.1,04:11.5,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,28.439,14
36,37,6MPWnMpLMcg,251.91,278.15,pig like custard doughnut special box know good place hide custard doughnut guess like hide fridge special tummy hide tummy,secrets,04:11.9,04:38.1,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.24,20
37,38,7GCOGUeWaFA,2.669,35.74, pig little brother mummy pig daddy dick lick lovely bright sunny day  family picnic daddy pig bring picnic basket picnic blanket bread cheese tomato,picnic,00:02.7,00:35.7,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,33.071,24
38,39,7GCOGUeWaFA,37.54,71.56,forget mummy job tease mummy homemade strawberry cake everybody ready ready let look like spot picnic great outdoor run bite,picnic,00:37.5,01:11.6,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,34.02,20
39,40,7GCOGUeWaFA,71.89,93.55,exercise want eat nap certainly want run maybe daddy run bite tummy quite big tummy big late exercise doe let good idea mummy pig really hungry,picnic,01:11.9,01:33.5,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,21.66,26
40,41,7GCOGUeWaFA,103.75,141.18,feel quite sleepy think want run bite daddy pig litter look little duck pond mummy fee duck yes fee rest bread  love feed bread ducks mummy okay want,picnic,01:43.8,02:21.2,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.43,28
41,42,7GCOGUeWaFA,141.51,174.18,bread sure sorry madame duck bread duck want food daddy pig exercise lot  tell bread strawberry cake good cake leave,picnic,02:21.5,02:54.2,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,32.67,20
42,43,7GCOGUeWaFA,174.45,192.269,ducks like mummy pig homemade strawberry cake wasp hate wasp shoo fuss mummy pig little wasp away wasp stay mummy pig fly away,picnic,02:54.4,03:12.3,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,17.819,23
43,44,7GCOGUeWaFA,195.27,230.1,stay away scram shoo wasp sting daddy away little pest daddy pig run fast wasp catch let eat cake wasp come forget,picnic,03:15.3,03:50.1,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,34.83,22
44,45,7GCOGUeWaFA,230.64,253.56,leave ducks think lose say run exercise daddy pig believe luckily manage hang slice strawberry cake stop daddy promise rest cake ducks,picnic,03:50.6,04:13.6,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,22.92,22
45,46,7GCOGUeWaFA,256.16,275.97,lucky say thank daddy pig welcome time home say goodbye ducks bye bye duck time,picnic,04:16.2,04:36.0,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,19.81,15
46,47,r1-3Cv2h23s,2.449,41.75,big little brother  musical instrument mummy pig daddy pig tidy house mummy pig old box attic guess inside musical instrument,musical instruments,00:02.4,00:41.7,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,39.301,20
47,48,r1-3Cv2h23s,47.129,82.03,bite old dusty true violin use play little mummy play violin play long time mummy play hope forget mummy play violet hold like,musical instruments,00:47.1,01:22.0,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,34.901,23
48,49,r1-3Cv2h23s,83.2,112.81,yes dear think mean sound like  want try like  doe sound quite right violet hard play  maybe tin drum thank daddy,musical instruments,01:23.2,01:52.8,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,29.61,21
49,50,r1-3Cv2h23s,114.73,146.35,sound  love play drum lovely yes sound nice daddy pig old accordion use play mummy pig meet daddy pig remember tune  want play accordion sure  accordion,musical instruments,01:54.7,02:26.4,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,31.62,26
50,51,r1-3Cv2h23s,147.07,177.13,quite difficult  crude difficult play drum okay  maybe  bite little play accordion daddy turbots box horn try blow hard,musical instruments,02:27.1,02:57.1,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.06,19
51,52,r1-3Cv2h23s,181.84,206.43,doe sound right impossible think use able play really doe sound right maybe need big strong like doe sound right,musical instruments,03:01.8,03:26.4,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,24.59,20
52,53,r1-3Cv2h23s,209.61,231.36,pap right impossible play nevermind daddy pig stick play beautifully good play quite nicely say play violin play truck mummy pig play violin daddy pig,musical instruments,03:29.6,03:51.4,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,21.75,25
53,54,r1-3Cv2h23s,231.93,261.299,play accordion play drum instrument  play  blow horn mummy play horn daddy play play  play,musical instruments,03:51.9,04:21.3,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,29.369,15
54,55,4yPLpM1TWE0,2.669,46.86,big little brother mummy pig folk worm doctor fly   help  pig garden beautiful butterfly  butterfly like flower food flower,frogs and worms and butterflies,00:02.7,00:46.9,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,44.191,19
55,56,4yPLpM1TWE0,48.11,85.17,long tongue look yes butterfly tongue long use drink flower  butterfly secure flower flower  pig pretty want butterfly,frogs and worms and butterflies,00:48.1,01:25.2,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.06,18
56,57,4yPLpM1TWE0,87.42,123.549,kepler play butterfly  want play  butterfly know reckon wrong fly dear  doe want win want butterfly ,frogs and worms and butterflies,01:27.4,02:03.5,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.129,16
57,58,4yPLpM1TWE0,124.24,155.2,little piggy use like play worm easy worm lie grind wriggle wriggly worm dorjan  pig fun wriggly worm,frogs and worms and butterflies,02:04.2,02:35.2,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.96,18
58,59,4yPLpM1TWE0,157.12,189.16,fly little butterfly look like butterfly yes  beautiful butterfly   wriggly worm want regular regular wrinkly bob,frogs and worms and butterflies,02:37.1,03:09.2,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,32.04,16
59,60,4yPLpM1TWE0,190.69,223.03,regular good wiggly worm love love fun animal want look  little frog play frog frandsen britches butterfly,frogs and worms and butterflies,03:10.7,03:43.0,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,32.34,17
60,61,4yPLpM1TWE0,223.959,261.22,wiggly worm look frog play game like difference play doll silly  favorite game jump muddy puddle yes frog love jump muddy puddle let play frog froggy buggy,frogs and worms and butterflies,03:44.0,04:21.2,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.261,27
61,62,4yPLpM1TWE0,261.55,277.24,nice big muddy puddle play pepperidge  love jump muddy puddle love jump muddy puddle butterfly worm nice like frog,frogs and worms and butterflies,04:21.5,04:37.2,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,15.69,19
62,63,dt6WCk75MwE,2.03,51.02,pet pig little brother big daddy   play mummy daddy bed  box old clothe daddy hat mummy dress  let open tend pee mummy daddy daddy hat,dressing up,00:02.0,00:51.0,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,48.99,25
63,64,dt6WCk75MwE,52.98,103.77,cousin hello daddy pig turn mummy dress mummy mac daddy pig shoe need shoe need look beautiful like  mummys makeup box powder,dressing up,00:53.0,01:43.8,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.79,22
64,65,dt6WCk75MwE,109.229,136.569,lovely lipstick pretty mummy pig come daddy pig time work mummy pig work computer hello  hello  beg pardon  say hello,dressing up,01:49.2,02:16.6,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.34,20
65,66,dt6WCk75MwE,137.14,175.18, pig love pink yes course hello mummy pig hello daddy pig  hello daddy pig hello yes thank  enjoy pretend mummy pig  bite,dressing up,02:17.1,02:55.2,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,38.04,22
66,67,dt6WCk75MwE,176.25,203.019,bore sorry daddy pig nearly finish dad come daddy pig time goodbye mummy pig daddy pig goodbye daddy pig dig garden hello  pick mummy pig daddy pig,dressing up,02:56.3,03:23.0,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.769,27
67,68,dt6WCk75MwE,204.51,245.36,daddy pig exclusive kind daddy pig deep hole hope clothe daddy pig want make pig snort ice cream ice cream   muddy,dressing up,03:24.5,04:05.4,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.85,21
68,69,dt6WCk75MwE,246.08,268.91,clothe eat mummy pig daddy pig sure yes   good shame favorite ice cream  ,dressing up,04:06.1,04:28.9,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,22.83,13
69,70,dt6WCk75MwE,270.11,275.48,yes mummy pretend daddy really food,dressing up,04:30.1,04:35.5,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,5.37,6
70,71,90xXHuliEEk,4.89,50.55,little brother big new shoe play garden shoe lose good sure maybe try garden yes look  shoe mummy pig look,new shoes,00:04.9,00:50.5,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,45.66,20
71,72,90xXHuliEEk,51.17,72.36,flowerbed  shoe daddy pig look wheelbarrow  shoe   look flowerpot  shoe look  shoe  shoe,new shoes,00:51.2,01:12.4,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,21.19,13
72,73,90xXHuliEEk,73.4,98.64,lose sure poor  shoe bite old buy new pair new shoe red mummy course  new red shoe mummy pig  miss rabbit shoe shop hello miss rabbit,new shoes,01:13.4,01:38.6,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,25.24,26
73,74,90xXHuliEEk,99.39,129.63,hello mummy pig like buy new shoe  red shoe good sure lovely new shoe  red course red cheese  daddy pig play draft good ,new shoes,01:39.4,02:09.6,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.24,23
74,75,90xXHuliEEk,130.71,154.65,daddy daddy look new shoe reds say red mummy like new shoe yes  make look smart  like new shoe like  new shoe like new shoe want,new shoes,02:10.7,02:34.7,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,23.94,26
75,76,90xXHuliEEk,155.07,181.32,bath time  want new shoe bath hepler pyjama new shoe  want wear new shoe bed  sure want shoe want,new shoes,02:35.1,03:01.3,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.25,19
76,77,90xXHuliEEk,181.98,208.1,new shoe puppy good good night   good night mummy good night daddy good night little piggy rain night garden wet mummy pig wear boot daddy pig wear,new shoes,03:02.0,03:28.1,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.12,27
77,78,90xXHuliEEk,208.61,228.38,boot  wear boot  wear new red shoe  play wet grass  love play wet grass want new shoe wet play wet grass ,new shoes,03:28.6,03:48.4,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,19.77,21
78,79,90xXHuliEEk,232.66,257.209, love jump muddy puddle  love jump puddle want new shoe muddy mean daddy love jump muddy puddle like jump muddy puddle   putt,new shoes,03:52.7,04:17.2,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,24.549,22
79,80,90xXHuliEEk,257.78,275.81,boot jump muddy puddle wear boot,new shoes,04:17.8,04:35.8,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,18.03,6
80,81,8t1WdjVZbiE,2.669,54.32,pig little brother  pink mummy pig daddy mister dinosaur look  favorite toy mister dinosaur ranger  love mister  like scare  mister dinosaur suppertime mister dinosaur sit  beg,mr dinosaur is lost,00:02.7,00:54.3,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,51.651,26
81,82,8t1WdjVZbiE,55.559,91.04,pardon  mister dinosaur gang bath time  share bath mister dinosaur good night  good night mummy good night  good night mister dinosaur  bed mister dinosaur tuck ,mr dinosaur is lost,00:55.6,01:31.0,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.481,25
82,83,8t1WdjVZbiE,92.31,127.97,favorite game throw mister dinosaur air catch fall  daddy pig play draft win daddy good    matt uncle  lose mister dinosaur,mr dinosaur is lost,01:32.3,02:08.0,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.66,20
83,84,8t1WdjVZbiE,131,153.71, lose mister dinosaur worry mister dinosaur job detective daddy deep tech kiss detective important person good thing thing right  detective,mr dinosaur is lost,02:11.0,02:33.7,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,22.71,20
84,85,8t1WdjVZbiE,156.02,182.36, detective help mister dinosaur maybe detective ask  simple question  mister dinosaur  doe know mister dinosaur detective try guess mister dinosaur know,mr dinosaur is lost,02:36.0,03:02.4,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.34,21
85,86,8t1WdjVZbiE,182.66,212.83, mister dinosaur bath mister dinosaur bath mister dinosaur bath know know mister dinosaur  mister dinosaur bed night save hilarious mister dinosaur  bed maybe,mr dinosaur is lost,03:02.7,03:32.8,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.17,23
86,87,8t1WdjVZbiE,214.58,242.87,try garden yes garden say mister dinosaur mister dinosaur hard mister dinosaur teddy  love throw mister dinosaur wonder time throw mister,mr dinosaur is lost,03:34.6,04:02.9,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,28.29,21
87,88,8t1WdjVZbiE,243.53,275.78,dinosaur bite high good  really good detective  happy mister dinosaur maybe good idea play dinosaurs near tree,mr dinosaur is lost,04:03.5,04:35.8,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,32.25,17
